,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,75,CL,1644203723,82,-53.15,-70.9167,12.06,4.63
1,Pevek,27,RU,1644203737,98,69.7008,170.3133,-30.76,0.41
2,Pushkinskiye Gory,100,RU,1644203738,98,57.0209,28.9103,0.34,4.78
3,Hermanus,66,ZA,1644203738,92,-34.4187,19.2345,19.33,1.9
4,Butaritari,71,KI,1644203739,76,3.0707,172.7902,27.69,6.9
5,Palana,73,RU,1644203739,74,59.1167,159.9667,-9.11,4.12
6,Lavrentiya,56,RU,1644203711,95,65.5833,-171.0,-26.46,2.32
7,Port Alfred,82,ZA,1644203739,79,-33.5906,26.891,22.74,2.22
8,Husavik,100,IS,1644203740,85,66.0449,-17.3389,-4.05,6.48
9,Rikitea,16,PF,1644203740,72,-23.1203,-134.9692,26.12,8.38
10,East London,0,ZA,1644203740,94,-33.0153,27.9116,21.52,2.06
11,Chokurdakh,79,RU,1644203741,99,70.6333,147.9167,-39.85,1.72
12,Flinders,44,AU,1644203741,70,-34.5833,150.8552,23.43,3.13
13,Bambous Virieux,100,MU,1644203741,81,-20.3428,57.7575,26.23,4.86
14,Mataura,8,NZ,1644203742,34,-46.1927,168.8643,15.82,1.23
15,Cabo San Lucas,20,MX,1644203631,73,22.8909,-109.9124,19.73,0.0
16,Barrow,0,US,1644203474,68,71.2906,-156.7887,-32.99,6.69
17,Hobart,20,AU,1644203703,34,-42.8794,147.3294,26.68,3.6
18,Ushuaia,40,AR,1644203488,67,-54.8,-68.3,15.81,6.69
19,Jamestown,0,US,1644203487,45,42.097,-79.2353,-1.23,4.63
20,Maceió,20,BR,1644203742,88,-9.6658,-35.7353,23.69,2.06
21,New Norfolk,0,AU,1644203447,29,-42.7826,147.0587,25.92,1.34
22,Geraldton,40,AU,1644203744,38,-28.7667,114.6,25.23,7.72
23,Arraial do Cabo,0,BR,1644203654,92,-22.9661,-42.0278,24.09,8.38
24,Vaini,100,TO,1644203704,100,-21.2,-175.2,24.09,2.06
25,Dikson,100,RU,1644203744,97,73.5069,80.5464,-25.03,7.3
26,Haines Junction,32,CA,1644203745,38,60.7522,-137.5108,4.97,4.63
27,Suihua,96,CN,1644203745,85,46.6406,126.9969,-13.11,2.98
28,Baykit,49,RU,1644203745,99,61.67,96.37,-21.51,1.33
29,Mayo,100,US,1644203746,66,38.8876,-76.5119,1.25,0.45
30,Severo-Kuril'sk,100,RU,1644203746,83,50.6789,156.125,-0.28,4.5
31,Constitución,0,CL,1644203464,80,-35.3333,-72.4167,14.33,1.83
32,Buraidah,0,SA,1644203746,48,26.326,43.975,6.25,2.65
33,Mayumba,63,GA,1644203747,92,-3.432,10.6554,24.54,3.7
34,Erzin,0,TR,1644203510,73,36.9559,36.2,1.4,1.74
35,Cape Town,50,ZA,1644203470,86,-33.9258,18.4232,17.93,0.45
36,Gwembe,93,ZM,1644203747,95,-16.4975,27.6069,16.34,1.7
37,Albany,10,US,1644203706,76,42.6001,-73.9662,-5.94,1.87
38,Yellowknife,20,CA,1644203748,91,62.456,-114.3525,-19.77,1.54
39,Carnarvon,6,AU,1644203748,48,-24.8667,113.6333,24.6,9.43
40,Khatanga,99,RU,1644203749,98,71.9667,102.5,-27.26,4.29
41,Teknāf,14,BD,1644203749,49,20.8624,92.3058,19.67,3.02
42,Aksarka,96,RU,1644203749,100,66.5606,67.7975,-25.9,3.03
43,Berlevåg,60,NO,1644203749,85,70.8578,29.0864,-6.72,9.26
44,Ahipara,97,NZ,1644203750,96,-35.1667,173.1667,23.95,2.76
45,Busselton,70,AU,1644203750,51,-33.65,115.3333,20.6,8.96
46,Ulaangom,93,MN,1644203541,96,49.9811,92.0667,-30.37,0.2
47,Bengkulu,99,ID,1644203711,70,-3.8004,102.2655,27.58,4.83
48,Wanning,63,CN,1644203751,85,18.8003,110.3967,23.81,3.42
49,Hasaki,6,JP,1644203751,34,35.7333,140.8333,9.05,3.15
50,Bethel,75,US,1644203751,82,41.3712,-73.414,-1.91,0.0
51,Pimentel,97,PE,1644203752,80,-6.8367,-79.9342,21.48,4.96
52,Ribeira Grande,9,PT,1644203556,83,38.5167,-28.7,16.15,7.16
53,Khani,89,GE,1644203752,87,41.9563,42.9566,-4.24,2.48
54,Yangi Marg`ilon,75,UZ,1644203752,81,40.4272,71.7189,3.68,3.09
55,Salalah,0,OM,1644203753,25,17.0151,54.0924,23.05,7.72
56,Nam Som,96,TH,1644203753,51,17.7704,102.1895,26.72,1.15
57,Bathsheba,75,BB,1644203753,83,13.2167,-59.5167,25.34,5.66
58,Longyearbyen,0,SJ,1644203754,73,78.2186,15.6401,-9.09,2.06
59,Yerbogachën,99,RU,1644203754,97,61.2767,108.0108,-22.18,1.09
60,Thompson,100,CA,1644203754,71,55.7435,-97.8558,-20.91,2.06
61,Sola,100,VU,1644203755,80,-13.8833,167.55,28.29,9.11
62,Kota Bharu,40,MY,1644203755,83,6.1333,102.2386,28.0,4.63
63,Narsaq,100,GL,1644203741,82,60.9167,-46.05,-11.88,2.49
64,Qasigiannguit,100,GL,1644203755,97,68.8193,-51.1922,-14.86,4.17
65,Maniitsoq,100,GL,1644203756,92,65.4167,-52.9,-16.29,6.19
66,Saint-Pierre,0,RE,1644203548,78,-21.3393,55.4781,25.8,2.06
67,Meulaboh,100,ID,1644203756,83,4.1363,96.1285,25.81,1.14
68,Castro,2,BR,1644203757,84,-24.7911,-50.0119,16.42,0.94
69,Faanui,100,PF,1644203757,75,-16.4833,-151.75,27.23,9.0
70,Dingle,48,PH,1644203757,63,10.9995,122.6711,28.75,6.89
71,Coahuayana Viejo,49,MX,1644203758,75,18.7333,-103.6833,21.04,1.52
72,Villamontes,0,BO,1644203758,73,-21.25,-63.5,18.95,1.89
73,Tasiilaq,100,GL,1644203758,53,65.6145,-37.6368,-5.91,26.96
74,Bluff,0,NZ,1644203759,66,-46.6,168.3333,16.0,5.98
75,Kuala Sungai Baru,94,MY,1644203759,75,2.3594,102.0353,29.08,2.6
76,Visnes,20,NO,1644203759,60,59.3556,5.2242,4.34,12.35
77,Sitka,100,US,1644203760,76,57.0531,-135.33,6.94,6.69
78,Isangel,100,VU,1644203760,92,-19.55,169.2667,26.25,8.26
79,Upernavik,100,GL,1644203760,100,72.7868,-56.1549,-25.83,3.76
80,Bereda,61,ES,1644203761,98,43.2686,-7.5406,4.76,0.87
81,Salinópolis,100,BR,1644203761,88,-0.6136,-47.3561,25.37,3.2
82,Mar del Plata,40,AR,1644203510,82,-38.0023,-57.5575,18.38,2.24
83,Bandi̇̄pur,0,NP,1644203761,71,27.9333,84.4167,9.33,0.42
84,Vila Velha,40,BR,1644203762,89,-20.3297,-40.2925,25.97,0.89
85,Rapid City,59,US,1644203566,47,44.0805,-103.231,5.72,3.58
86,Mount Gambier,0,AU,1644203538,20,-37.8333,140.7667,30.09,3.2
87,Rabo de Peixe,75,PT,1644203762,95,37.8,-25.5833,14.6,4.12
88,Ponta do Sol,7,PT,1644203763,69,32.6667,-17.1,17.35,4.76
89,Hervey Bay,89,AU,1644203518,92,-25.2986,152.8535,23.91,2.68
90,Hilo,85,US,1644203763,88,19.7297,-155.09,22.92,0.45
91,Klaksvík,100,FO,1644203501,50,62.2266,-6.589,-1.49,6.9
92,Monster,75,NL,1644203764,71,52.0258,4.175,6.66,6.71
93,Yenagoa,8,NG,1644203764,89,4.9247,6.2642,24.07,1.12
94,Sakaiminato,98,JP,1644203532,56,35.55,133.2333,6.48,4.72
95,Saint Paul Harbor,0,US,1644203750,51,57.79,-152.4072,1.73,7.72
96,Bandar,100,ID,1644203764,67,2.05,99.75,27.82,0.65
97,Khandyga,90,RU,1644203765,89,62.6667,135.6,-30.01,0.48
98,Batagay,100,RU,1644203765,93,67.6333,134.6333,-33.98,0.2
99,Lompoc,0,US,1644203766,77,34.6391,-120.4579,14.55,2.57
100,Chiang Rai,75,TH,1644203766,90,19.9167,99.9167,25.59,1.54
101,Grand Gaube,100,MU,1644203766,81,-20.0064,57.6608,26.32,0.89
102,Stockton-on-Tees,7,GB,1644203767,78,54.5685,-1.3187,3.11,0.45
103,Boa Viagem,9,BR,1644203767,84,-5.1275,-39.7322,23.01,0.61
104,Atuona,12,PF,1644203767,77,-9.8,-139.0333,26.0,7.64
105,Port Elizabeth,25,ZA,1644203768,74,-33.918,25.5701,21.62,1.57
106,São João da Barra,2,BR,1644203756,88,-21.6403,-41.0511,24.54,8.35
107,Leh,100,IN,1644203768,96,34.1667,77.5833,-11.68,1.25
108,Esperance,18,AU,1644203768,53,-33.8667,121.9,24.91,12.56
109,Manaure,3,CO,1644203766,80,11.7751,-72.4445,25.18,6.26
110,Camacha,75,PT,1644203769,63,33.0833,-16.3333,15.42,7.2
111,Atasū,100,KZ,1644203769,96,48.6814,71.6433,-3.23,6.9
112,Mweka,100,CD,1644203770,99,-4.85,21.5667,19.81,0.35
113,City of San Pedro,100,PH,1644203770,73,14.35,121.0167,29.06,8.08
114,Otavi,100,NA,1644203770,84,-19.65,17.3333,18.02,2.41
115,Saint George,0,US,1644203755,27,37.1041,-113.5841,11.33,0.45
116,Koungou,75,YT,1644203771,83,-12.7336,45.2042,26.84,5.14
117,Scottsbluff,0,US,1644203642,59,41.8666,-103.6672,3.21,2.57
118,Dauphin,100,CA,1644203771,85,51.1494,-100.0502,-14.92,1.54
119,Iqaluit,100,CA,1644203771,65,63.7506,-68.5145,-39.06,1.36
120,Abejorral,75,CO,1644203772,97,5.7893,-75.4273,14.53,0.77
121,Östersund,20,SE,1644203772,100,63.1792,14.6357,-4.75,1.54
122,Cockburn Town,0,TC,1644203772,75,21.4612,-71.1419,24.45,7.56
123,Malanville,0,BJ,1644203773,17,11.8685,3.3899,20.01,3.55
124,Hong Kong,100,HK,1644203500,90,22.2855,114.1577,18.99,0.45
125,Muroto-misakicho,69,JP,1644203773,52,33.2833,134.15,8.02,3.88
126,Russell,100,US,1644203633,72,32.3502,-85.1999,9.6,2.58
127,Chui,41,UY,1644203718,74,-33.6971,-53.4616,17.66,7.0
128,Manokwari,99,ID,1644203774,68,-0.8667,134.0833,28.34,2.5
129,Olafsvik,100,IS,1644203774,92,64.8945,-23.7142,-1.6,16.66
130,Namatanai,100,PG,1644203774,67,-3.6667,152.4333,29.91,3.18
131,Beloha,100,MG,1644203775,93,-25.1667,45.05,23.31,5.69
132,Abhar,100,IR,1644203775,78,36.1468,49.218,-2.12,3.33
133,Coquimbo,100,CL,1644203775,82,-29.9533,-71.3436,17.85,2.06
134,Shimoda,97,JP,1644203537,84,34.6667,138.95,6.72,0.67
135,Tuatapere,0,NZ,1644203776,44,-46.1333,167.6833,16.01,2.89
136,Pierre,20,US,1644203777,57,44.3683,-100.351,1.03,0.45
137,Saint-Philippe,94,RE,1644203777,85,-21.3585,55.7679,25.75,6.55
138,Katsuura,16,JP,1644203777,31,35.1333,140.3,8.06,2.01
139,Souillac,100,MU,1644203778,84,-20.5167,57.5167,26.31,4.45
140,Roald,75,NO,1644203778,81,62.5833,6.1333,4.63,4.63
141,Sarana,68,RU,1644203778,94,56.4773,57.7259,-14.8,1.18
142,Vao,42,NC,1644203779,82,-22.6667,167.4833,27.16,5.2
143,Seymchan,32,RU,1644203779,92,62.8833,152.4333,-32.6,0.68
144,Cumana,13,VE,1644203779,90,10.4635,-64.1775,24.39,4.19
145,Kannad,21,IN,1644203780,30,20.2667,75.1333,19.69,1.45
146,Qaanaaq,29,GL,1644203706,59,77.484,-69.3632,-24.26,3.24
147,Sobolevo,99,RU,1644203780,95,54.4299,31.8996,-1.08,6.38
148,Magdagachi,86,RU,1644203780,69,53.45,125.8,-15.53,0.45
149,Yulara,0,AU,1644203781,17,-25.2406,130.9889,32.91,6.17
150,Kapaa,20,US,1644203781,73,22.0752,-159.319,25.99,1.34
151,Noshiro,100,JP,1644203782,76,40.2039,140.0242,0.52,9.41
152,Koslan,98,RU,1644203782,95,63.4564,48.8989,-9.07,2.89
153,Ilulissat,20,GL,1644203782,72,69.2167,-51.1,-14.99,4.63
154,Palembang,40,ID,1644203605,78,-2.9167,104.7458,27.05,5.14
155,Sai Buri,60,TH,1644203783,74,6.7013,101.6168,27.84,2.9
156,Calbuco,6,CL,1644203783,86,-41.768,-73.1273,13.56,4.04
157,Ancud,5,CL,1644203721,89,-41.8697,-73.8203,12.74,1.28
158,Torbay,75,CA,1644203737,77,47.6666,-52.7314,-10.24,8.23
159,Fort Nelson,20,CA,1644203725,92,58.8053,-122.7002,-9.23,2.57
160,San Vicente,0,AR,1644203784,63,-26.6167,-54.1333,14.89,1.26
161,Hay River,40,CA,1644203784,78,60.8156,-115.7999,-15.01,1.03
162,Takhtamygda,100,RU,1644203784,67,54.1,123.5667,-14.87,0.65
163,Mt. Pleasant,100,US,1644203785,74,32.7941,-79.8626,8.0,1.34
164,Kaitangata,52,NZ,1644203785,80,-46.2817,169.8464,15.52,3.72
165,Lewisburg,0,US,1644203785,87,35.4492,-86.7889,3.36,0.0
166,Codrington,0,AU,1644203786,30,-38.2667,141.9667,28.38,6.17
167,Alice Springs,0,AU,1644203715,23,-23.7,133.8833,30.75,2.57
168,Diffa,0,NE,1644203786,33,13.3154,12.6113,16.42,4.55
169,Jalu,2,LY,1644203787,34,29.0331,21.5482,12.82,3.17
170,Bemidji,0,US,1644203764,88,47.4736,-94.8803,-18.25,1.54
171,Cidreira,8,BR,1644203787,74,-30.1811,-50.2056,20.12,3.49
172,Tornio,100,FI,1644203787,94,65.8481,24.1466,-0.99,4.21
173,Mahébourg,100,MU,1644203787,82,-20.4081,57.7,26.25,5.01
174,Tuy Hoa,75,VN,1644203788,82,13.0833,109.3,25.18,3.03
175,Rocha,100,UY,1644203788,85,-34.4833,-54.3333,17.14,6.21
176,George Town,20,MY,1644203700,78,5.4112,100.3354,28.96,2.06
177,Monrovia,98,LR,1644203789,82,6.3005,-10.7969,26.13,2.16
178,Bokhan,96,RU,1644203789,91,53.153,103.7714,-8.05,1.56
179,Raudeberg,90,NO,1644203789,89,61.9875,5.1352,4.0,1.34
180,Kondinskoye,100,RU,1644203790,93,59.6481,67.41,-13.07,4.24
181,Bredasdorp,13,ZA,1644203587,91,-34.5322,20.0403,19.04,2.5
182,Anadyr,0,RU,1644203790,76,64.75,177.4833,-25.72,4.0
183,Luancheng,100,CN,1644203791,34,37.8792,114.6517,2.09,0.86
184,Tautira,72,PF,1644203791,76,-17.7333,-149.15,30.01,8.93
185,San Policarpo,52,PH,1644203554,79,12.1791,125.5072,27.17,7.81
186,Avarua,20,CK,1644203792,78,-21.2078,-159.775,27.03,4.12
187,Dubbo,40,AU,1644203792,38,-32.25,148.6167,26.07,7.2
188,Hambantota,100,LK,1644203702,66,6.1241,81.1185,26.19,3.2
189,Abbeville,6,FR,1644203792,73,50.1,1.8333,6.98,7.73
190,Alofi,100,NU,1644203632,18,-19.0595,-169.9187,27.94,2.06
191,Waipawa,100,NZ,1644203793,90,-41.4122,175.5153,15.52,4.59
192,Los Llanos de Aridane,75,ES,1644203793,73,28.6585,-17.9182,16.86,8.49
193,Puerto Ayora,20,EC,1644203583,93,-0.7393,-90.3518,23.08,0.89
194,Rawson,0,AR,1644203793,49,-43.3002,-65.1023,17.66,8.3
195,Liverpool,75,GB,1644203672,84,53.4106,-2.9779,6.01,1.79
196,Tuktoyaktuk,75,CA,1644203794,68,69.4541,-133.0374,-34.0,5.66
197,Puerto Peñasco,0,MX,1644203606,17,31.3167,-113.5333,18.84,1.34
198,Balkhash,100,KZ,1644203794,92,46.844,74.9804,-8.66,2.0
199,Tiksi,100,RU,1644203795,98,71.6872,128.8694,-27.43,2.8
200,Marsh Harbour,28,BS,1644203795,72,26.5412,-77.0636,23.25,5.72
201,Talnakh,56,RU,1644203795,98,69.4865,88.3972,-33.42,0.31
202,Metro,96,ID,1644203795,80,-5.1131,105.3067,26.92,1.52
203,São Filipe,1,CV,1644203796,75,14.8961,-24.4956,22.49,2.67
204,Okhotsk,95,RU,1644203796,71,59.3833,143.3,-15.43,4.15
205,Sorong,100,ID,1644203796,72,-0.8833,131.25,28.69,3.76
206,Lālganj,0,IN,1644203797,64,25.8667,85.1833,10.97,2.01
207,Gamba,16,GA,1644203520,93,-2.65,10.0,24.56,2.32
208,Vredendal,0,ZA,1644203797,58,-31.6683,18.5012,19.23,0.49
209,Abu Samrah,91,SY,1644203797,89,35.3029,37.1841,8.56,3.18
210,Leningradskiy,63,RU,1644203798,100,69.3833,178.4167,-32.54,1.26
211,Atambua,18,ID,1644203798,67,-9.1061,124.8925,28.85,2.22
212,Tura,1,IN,1644203798,56,25.5198,90.2201,16.65,0.53
213,Dakar,0,SN,1644203799,94,14.6937,-17.4441,21.07,1.03
214,Kafanchan,0,NG,1644203799,26,9.5833,8.3,18.16,2.36
215,Nouakchott,36,MR,1644203799,51,18.0858,-15.9785,17.96,4.19
216,Olinda,75,BR,1644203800,69,-8.0089,-34.8553,27.85,2.57
217,Tiznit Province,4,MA,1644203800,22,29.5833,-9.5,15.91,3.12
218,Norman Wells,100,CA,1644203800,70,65.282,-126.8329,-24.98,8.23
219,Kenai,100,US,1644203801,95,60.5544,-151.2583,-2.17,0.0
220,Invermere,96,CA,1644203801,92,50.5167,-116.0354,-3.69,1.03
221,El Negrito,96,HN,1644203802,95,15.3167,-87.7,19.81,0.65
222,Mossamedes,95,AO,1644203802,70,-15.1961,12.1522,22.38,3.32
223,Saint-Augustin,18,CA,1644203802,92,51.226,-58.6502,-31.56,2.23
224,Opuwo,98,NA,1644203803,46,-18.0607,13.84,20.02,0.72
225,San Patricio,100,US,1644203803,83,28.017,-97.5169,13.99,4.44
226,College,75,US,1644203803,77,64.8569,-147.8028,-20.56,0.0
227,Acajutla,19,SV,1644203625,64,13.5928,-89.8275,26.56,2.13
228,Nome,0,US,1644203804,59,64.5011,-165.4064,-21.96,6.17
229,Hearst,100,CA,1644203804,96,49.6835,-83.6665,-16.86,3.29
230,Katobu,99,ID,1644203804,68,-4.9408,122.5276,29.61,3.33
231,Bukachacha,17,RU,1644203805,74,52.9833,116.9167,-12.38,0.71
232,Okha,100,RU,1644203805,94,53.5739,142.9478,-15.21,10.64
233,Half Moon Bay,100,US,1644203628,69,37.4636,-122.4286,15.9,0.45
234,Sangar,96,RU,1644203805,91,63.9242,127.4739,-32.28,1.01
235,Liepāja,100,LV,1644203806,100,56.5419,21.0367,3.03,1.54
236,Le Port,84,RE,1644203739,75,-20.9373,55.2919,25.98,4.46
237,Angoche,94,MZ,1644203806,94,-16.2325,39.9086,23.13,4.61
238,São Marcos,0,BR,1644203806,78,-28.9711,-51.0681,15.4,0.58
239,Pacifica,20,US,1644203628,78,37.6138,-122.4869,15.46,2.68
240,Saint-François,75,FR,1644203807,92,46.4154,3.9054,9.26,6.17
241,Saskylakh,93,RU,1644203807,100,71.9167,114.0833,-32.88,1.83
242,Yeppoon,2,AU,1644203808,59,-23.1333,150.7333,28.88,6.5
243,Aracataca,0,CO,1644203808,73,10.5918,-74.1898,27.88,1.76
244,Bekhtery,42,UA,1644203810,88,46.251,32.2927,3.33,7.1
245,Tynda,100,RU,1644203810,82,55.1667,124.7167,-18.4,0.8
246,La Santisima Trinidad,100,BO,1644203538,99,-14.8333,-64.9,21.24,1.31
247,Cururupu,100,BR,1644203725,95,-1.8283,-44.8683,23.82,0.8
248,Necochea,66,AR,1644203579,72,-38.5473,-58.7368,15.58,4.59
249,Provideniya,0,RU,1644203811,66,64.3833,-173.3,-15.94,5.0
250,Don Luan,42,VN,1644203811,43,11.5333,106.9167,32.36,1.89
251,La Tuque,100,CA,1644203811,78,47.4334,-72.7824,-12.86,2.57
252,Jablonné nad Orlicí,100,CZ,1644203812,96,50.0296,16.6006,4.15,5.93
253,Pangnirtung,100,CA,1644203812,96,66.1451,-65.7125,-38.94,2.0
254,Port-Gentil,33,GA,1644203812,84,-0.7193,8.7815,26.48,4.69
255,Ust-Kuyga,100,RU,1644203813,98,70.0167,135.6,-36.39,2.15
256,Zhigansk,93,RU,1644203813,99,66.7697,123.3711,-33.97,1.74
257,Lebu,3,CL,1644203813,92,-37.6167,-73.65,15.12,6.89
258,Tefé,100,BR,1644203813,96,-3.3542,-64.7114,23.44,0.67
259,Broome,0,US,1644203814,69,42.2506,-75.833,-4.5,0.45
260,Sittwe,97,MM,1644203814,48,20.15,92.9,18.73,2.37
261,Chokwé,20,MZ,1644203814,95,-24.5333,32.9833,21.23,4.17
262,Turinsk,78,RU,1644203815,98,58.0458,63.696,-19.74,1.55
263,Ngorongoro,100,TZ,1644203815,86,-3.2397,35.4875,11.77,0.88
264,Mareeba,49,AU,1644203815,76,-17.0,145.4333,29.81,2.6
265,Bud,99,US,1644203816,85,39.447,-86.1758,-2.03,2.78
266,Lomnice nad Popelkou,100,CZ,1644203816,89,50.5306,15.3734,3.4,5.6
267,Requena,0,ES,1644203816,43,39.4883,-1.1004,5.63,2.37
268,Vila,48,PT,1644203817,82,42.0304,-8.1588,4.07,2.4
269,Kavaratti,14,IN,1644203817,67,10.5669,72.642,25.36,3.1
270,Tateyama,29,JP,1644203818,39,34.9833,139.8667,8.01,1.18
271,Skjervøy,97,NO,1644203818,58,70.0311,20.9714,-1.55,5.85
272,Havre-St-Pierre,100,CA,1644203818,71,50.2334,-63.5986,-11.67,4.63
273,Kloulklubed,43,PW,1644203819,79,7.0419,134.2556,29.28,10.01
274,Nouadhibou,96,MR,1644203819,100,20.931,-17.0347,16.99,3.6
275,Vila do Maio,2,CV,1644203819,81,15.1333,-23.2167,20.44,4.81
276,Evans,98,US,1644203819,75,33.5337,-82.1307,5.58,2.24
277,Concepción del Uruguay,0,AR,1644203820,70,-32.4825,-58.2372,17.21,0.89
